index,treatment_area,dedicated_dept,QI,year,university_hospital,case_volume,number_beds_total,hospital_type,ik_site_number
260810807-00,Dummy,1,1.0,2015,1,0,2,3,260810807-00
260811192,Dummy,1,1.0,2015,0,1,2,2,260811192
260812558,Dummy,0,3.0,2015,0,1,1,1,260812558
260820239,Dummy,1,3.0,2015,1,1,3,1,260820239
260820466.1,Dummy,1,2.0,2015,0,1,2,2,260820466.1
260821025-02,Dummy,0,1.0,2015,1,0,1,1,260821025-02
260830572.1,Dummy,0,3.0,2015,0,3,2,3,260830572.1
260831049.1,Dummy,0,1.0,2015,0,3,3,1,260831049.1
260833449.1,Dummy,0,2.0,2015,0,3,0,2,260833449.1
260833483.1,Dummy,1,0.0,2015,0,1,2,1,260833483.1
260840017,Dummy,0,0.0,2015,1,0,1,3,260840017
260840493,Dummy,1,3.0,2015,1,2,2,1,260840493
260841928,Dummy,0,2.0,2015,1,0,0,2,260841928
260910114-00,Dummy,1,0.0,2015,0,3,1,3,260910114-00
260910283.1,Dummy,0,3.0,2015,0,3,2,3,260910283.1
260910591.1,Dummy,0,0.0,2015,0,1,3,3,260910591.1
260910591.1_1,Dummy,1,2.0,2015,1,1,0,1,260910591.1
260910933,Dummy,0,0.0,2015,0,1,2,2,260910933
260911137.1,Dummy,1,0.0,2015,0,2,3,1,260911137.1
260911386-00,Dummy,1,1.0,2015,0,2,0,3,260911386-00
260912081-00,Dummy,1,2.0,2015,1,2,0,2,260912081-00
260912980,Dummy,1,1.0,2015,1,2,1,2,260912980
260913798-00,Dummy,0,1.0,2015,0,2,3,1,260913798-00
260920036-00,Dummy,0,3.0,2015,0,2,0,1,260920036-00
260930163,Dummy,1,1.0,2015,0,1,1,2,260930163
260930414-00,Dummy,1,2.0,2015,1,0,3,1,260930414-00
260930492.1,Dummy,0,0.0,2015,1,1,2,2,260930492.1
260930799.1,Dummy,1,0.0,2015,0,2,3,3,260930799.1
260950179,Dummy,0,3.0,2015,1,3,3,1,260950179
260950226.1,Dummy,1,0.0,2015,0,0,0,2,260950226.1
260960104,Dummy,0,2.0,2015,1,0,0,1,260960104
260960569.1,Dummy,0,3.0,2015,1,1,3,3,260960569.1
260960774,Dummy,0,2.0,2015,1,2,1,3,260960774
261000466-00,Dummy,0,1.0,2015,0,3,2,2,261000466-00
261100321,Dummy,1,2.0,2015,0,2,2,3,261100321
261100456,Dummy,1,2.0,2015,0,0,0,1,261100456
261101015.1,Dummy,1,3.0,2015,0,0,1,1,261101015.1
261110027-02,Dummy,0,3.0,2015,0,3,2,2,261110027-02
261300152.1,Dummy,0,0.0,2015,1,1,3,3,261300152.1
261300312-00,Dummy,1,0.0,2015,0,0,0,3,261300312-00
261300403,Dummy,1,1.0,2015,1,2,0,3,261300403
261300802-02,Dummy,0,2.0,2015,1,0,3,3,261300802-02
261400051.1,Dummy,0,2.0,2015,0,3,2,3,261400051.1
261400723-01,Dummy,1,1.0,2015,1,3,2,1,261400723-01
261400723.1,Dummy,1,2.0,2015,0,3,3,3,261400723.1
261400847.1,Dummy,1,1.0,2015,0,2,3,3,261400847.1
261400870-00,Dummy,1,3.0,2015,0,0,3,3,261400870-00
261500198-00,Dummy,1,3.0,2015,0,3,1,1,261500198-00
261500256,Dummy,1,3.0,2015,1,2,2,2,261500256
261601010.1,Dummy,0,0.0,2015,0,3,1,3,261601010.1
261601021.1,Dummy,1,0.0,2015,0,0,0,2,261601021.1
