index,treatment_area,dedicated_dept,QI,year,university_hospital,case_volume,number_beds_total,hospital_type,ik_site_number
260590652,Dummy,1,7.868689682880357,2015,1,48,68,private,260590652
260590903.1,Dummy,0,9.192731798109184,2015,0,33,19,clinic,260590903.1
260590936,Dummy,0,2.040571358087035,2015,0,49,42,private,260590936
260591389.1,Dummy,0,3.214380260621169,2015,0,68,30,private,260591389.1
260591562,Dummy,1,6.463843700227709,2015,1,11,61,clinic,260591562
260593018-00,Dummy,1,0.2601759819294414,2015,0,22,32,public,260593018-00
260610576,Dummy,1,2.717620789212094,2015,1,15,10,public,260610576
260611613,Dummy,0,1.02352921291712,2015,0,32,83,clinic,260611613
260611613_1,Dummy,1,9.5239912511367,2015,0,47,68,private,260611613
260611668.1,Dummy,1,0.2450185057836751,2015,0,40,38,private,260611668.1
260611862-00,Dummy,0,6.636889996793118,2015,0,92,51,public,260611862-00
260641243,Dummy,0,5.322158302827066,2015,0,5,22,public,260641243
260660862,Dummy,0,5.117253360121657,2015,1,49,78,clinic,260660862
260710327,Dummy,1,0.344080680698331,2015,0,41,50,public,260710327
260710394.1,Dummy,1,7.354289589035478,2015,0,62,20,public,260710394.1
260710873.1,Dummy,0,8.555756226052154,2015,1,59,77,private,260710873.1
260711077-00,Dummy,0,2.054134157300135,2015,1,85,94,public,260711077-00
260711863.1,Dummy,1,0.8377620487421988,2015,0,76,12,private,260711863.1
260810807-00,Dummy,1,3.191897874310766,2015,1,28,65,public,260810807-00
260811192,Dummy,1,2.737218254784879,2015,0,42,61,clinic,260811192
260812558,Dummy,0,7.918806132714659,2015,0,42,28,private,260812558
260820239,Dummy,1,7.468803739027271,2015,1,51,73,private,260820239
260820466.1,Dummy,1,7.127584179861527,2015,0,55,55,clinic,260820466.1
260821025-02,Dummy,0,3.097363764347916,2015,1,18,29,private,260821025-02
260830572.1,Dummy,0,9.910198090529237,2015,0,82,61,public,260830572.1
260831049.1,Dummy,0,3.473518546756902,2015,0,82,82,private,260831049.1
260833449.1,Dummy,0,5.231139044971585,2015,0,94,27,clinic,260833449.1
260833483.1,Dummy,1,0.2141031138983285,2015,0,55,57,private,260833483.1
260840017,Dummy,0,0.4225249640161366,2015,1,13,51,public,260840017
260840493,Dummy,1,8.901815164690957,2015,1,61,60,private,260840493
260841928,Dummy,0,6.150378325093051,2015,1,6,9,clinic,260841928
260910114-00,Dummy,1,2.022657697423214,2015,0,92,40,public,260910114-00
260910283.1,Dummy,0,7.930642068377044,2015,0,88,56,public,260910283.1
260910591.1,Dummy,0,1.578617696916982,2015,0,37,90,public,260910591.1
260910591.1_1,Dummy,1,7.297619930431988,2015,1,49,24,private,260910591.1
260910933,Dummy,0,0.4866698435832895,2015,0,45,57,clinic,260910933
260911137.1,Dummy,1,2.079971836756792,2015,0,64,76,private,260911137.1
260911386-00,Dummy,1,3.640163537599628,2015,0,64,14,public,260911386-00
260912081-00,Dummy,1,5.624810663013028,2015,1,73,15,clinic,260912081-00
260912980,Dummy,1,2.252840148053132,2015,1,73,40,clinic,260912980
260913798-00,Dummy,0,2.881080147163138,2015,0,72,79,private,260913798-00
260920036-00,Dummy,0,9.681325996565533,2015,0,65,15,private,260920036-00
260930163,Dummy,1,4.138455424581836,2015,0,57,37,clinic,260930163
260930414-00,Dummy,1,5.849209848015735,2015,1,24,97,private,260930414-00
260930492.1,Dummy,0,2.04272688834774,2015,1,52,61,clinic,260930492.1
260930799.1,Dummy,1,1.686077382134996,2015,0,74,92,public,260930799.1
260950179,Dummy,0,8.864083126186705,2015,1,85,100,private,260950179
260950226.1,Dummy,1,0.1236728057552494,2015,0,12,26,clinic,260950226.1
260960104,Dummy,0,5.447058889378003,2015,1,9,12,private,260960104
260960569.1,Dummy,0,7.678583061702597,2015,1,37,98,public,260960569.1
260960774,Dummy,0,5.862298056917844,2015,1,78,35,public,260960774
261000466-00,Dummy,0,3.123789293740797,2015,0,82,61,clinic,261000466-00
261100321,Dummy,1,7.301622298233506,2015,0,61,70,public,261100321
261100456,Dummy,1,6.329353884774199,2015,0,26,15,private,261100456
261101015.1,Dummy,1,9.163378218628454,2015,0,17,30,private,261101015.1
261110027-02,Dummy,0,9.181003415240943,2015,0,98,56,clinic,261110027-02
261300152.1,Dummy,0,0.1241068701273784,2015,1,51,88,public,261300152.1
261300312-00,Dummy,1,1.643980373895169,2015,0,29,24,public,261300312-00
261300403,Dummy,1,4.8851201518655,2015,1,60,9,public,261300403
261300802-02,Dummy,0,5.951467337920542,2015,1,8,94,public,261300802-02
261400051.1,Dummy,0,7.115433025217178,2015,0,96,69,public,261400051.1
261400723-01,Dummy,1,2.361593354401179,2015,1,82,58,private,261400723-01
261400723.1,Dummy,1,7.328327123542588,2015,0,86,73,public,261400723.1
261400847.1,Dummy,1,3.650988478126198,2015,0,78,86,public,261400847.1
261400870-00,Dummy,1,8.258378045280319,2015,0,17,90,public,261400870-00
261500198-00,Dummy,1,7.541242638701106,2015,0,89,37,private,261500198-00
261500256,Dummy,1,9.057768484098837,2015,1,73,55,clinic,261500256
261601010.1,Dummy,0,1.908939047883326,2015,0,100,29,public,261601010.1
261601021.1,Dummy,1,0.8847517810444494,2015,0,8,15,clinic,261601021.1
